Biologist Comment,DataSource,UID,StationID,RefStressCode,Region,Year,LatitudeDD,LongitudeDD,Basin,SubBasin,EcoRegion,BioRegion,DO,pH,SpCond,TN,TP,TotHab,TotHabStress,TNStress,TPStress,DOStress,PHStress,SpCondStress,CountStress,CountRef,CountFair,CountFilterParms,StressLevel,RefLevel,S1,S2,S3,R1,R2,R3,R4,HighestStressCount,HighestStress,HighStressCount,HighStress,ModStressCount,ModStress,Mod2StressCount,Mod2Stress,LowStressCount,LowStress,LowestStressCount,LowestStress,BestRefCount,BestRef,GoodRefCount,GoodRef,BestRefModCount,BestRefMod,BestRefModCount2,BestRefMod2,GoodRefModCount,GoodRefMod,GoodRefModCount2,GoodRefMod2
,VDEQ_BUG,1AACO014.57,1AACO014.57,zLow Stress,NRO,6/1/2016,38.81111111,-77.23055556,Potomac,Potomac,Piedmont,Piedmont,8.44,6.55,410,1.01,0.04,121,Fair,Fair,Fair,Ref,Ref,Fair,0,2,4,6,S3,R4,0,0,1,0,0,0,1,1,,0,,1,,0,,2,zLow Stress,1,,1,,1,,0,,0,,0,,0,
,VDEQ_BUG,1ABEC004.76,1ABEC004.76,Moderate2 Stress,NRO,6/8/2011,39.037386,-77.722781,Potomac,Potomac,Northern Piedmont,Piedmont,9,7.6,212,1,0.03,113,Stress,Ref,Fair,Ref,Ref,Ref,1,4,1,6,S2,R3,0,1,0,0,0,1,0,0,,1,,1,,2,Moderate2 Stress,0,,1,,0,,0,,1,,0,,1,,0,
,VDEQ_BUG,1ABEC004.76,1ABEC004.76,Moderate Stress,NRO,11/4/2011,39.037386,-77.722781,Potomac,Potomac,Northern Piedmont,Piedmont,11.8,7.3,265,1,0.03,120,Stress,Ref,Fair,Ref,Ref,Fair,1,3,2,6,S2,R4,0,1,0,0,0,0,1,1,,0,,2,Moderate Stress,1,,1,,0,,0,,0,,1,,0,,1,,0,
,VDEQ_BUG,1ABED009.37,1ABED009.37,zLowest Stress,NRO,5/29/2013,38.5503,-77.5014,Potomac,Potomac,Piedmont,Piedmont,7.18,6.68,45,0.385,0.04,183,Ref,Ref,Fair,Fair,Ref,Ref,0,4,2,6,S3,R3,0,0,1,0,0,1,0,0,,1,,0,,1,,1,,2,zLowest Stress,1,,1,,0,,0,,0,,0,
,VDEQ_BUG,1ABED009.37,1ABED009.37,GoodRef,NRO,10/30/2013,38.5503,-77.5014,Potomac,Potomac,Piedmont,Piedmont,10.08,7.67,52,0.385,0.04,174,Ref,Ref,Fair,Ref,Ref,Ref,0,5,1,6,S3,R2,0,0,1,0,1,0,0,0,,0,,0,,0,,1,,1,,1,,2,GoodRef,0,,0,,1,,1,
,VDEQ_BUG,1ABIR000.76,1ABIR000.76,Highest Stress,NRO,9/23/2019,38.836388,-77.45,Potomac,Potomac,Northern Piedmont,Piedmont,5.86,7.16,583,0.93,0.05,88,Stress,Ref,Fair,Stress,Ref,Stress,3,2,1,6,S1,R4,1,0,0,0,0,0,1,2,Highest Stress,1,,1,,0,,1,,0,,0,,0,,0,,1,,0,,1,
,VDEQ_BUG,1ABIR000.76,1ABIR000.76,Moderate Stress,NRO,10/10/2018,38.836388,-77.45,Potomac,Potomac,Northern Piedmont,Piedmont,7.92,7.33,431,0.93,0.05,96,Stress,Ref,Fair,Fair,Ref,Fair,1,2,3,6,S2,R4,0,1,0,0,0,0,1,1,,0,,2,Moderate Stress,1,,1,,0,,0,,0,,1,,0,,1,,0,
,VDEQ_BUG,1ABIR000.76,1ABIR000.76,Moderate Stress,NRO,3/11/2019,38.836388,-77.45,Potomac,Potomac,Northern Piedmont,Piedmont,11.44,7.1,882,0.93,0.05,109,Stress,Ref,Fair,Ref,Ref,Stress,2,3,1,6,S2,R4,0,1,0,0,0,0,1,1,,0,,2,Moderate Stress,1,,1,,0,,0,,0,,1,,0,,1,,0,
,VDEQ_BUG,1ABIR000.76,1ABIR000.76,Moderate Stress,NRO,4/9/2018,38.836388,-77.45,Potomac,Potomac,Northern Piedmont,Piedmont,12.05,7.66,1187,0.93,0.05,107,Stress,Ref,Fair,Ref,Ref,Stress,2,3,1,6,S2,R4,0,1,0,0,0,0,1,1,,0,,2,Moderate Stress,1,,1,,0,,0,,0,,1,,0,,1,,0,
,VDEQ_BUG,1ABRB002.15,1ABRB002.15,Moderate Stress,NRO,3/21/2012,39.046667,-77.432778,Potomac,Potomac,Northern Piedmont,Piedmont,8.29,7.52,553,1.4,0.04,135,Fair,Fair,Fair,Ref,Ref,Stress,1,2,3,6,S2,R4,0,1,0,0,0,0,1,1,,0,,2,Moderate Stress,1,,1,,0,,0,,0,,1,,0,,1,,0,
,VDEQ_BUG,1ABRB002.15,1ABRB002.15,zLow Stress,NRO,9/11/2012,39.046667,-77.432778,Potomac,Potomac,Northern Piedmont,Piedmont,8.36,7.24,476,1.4,0.04,140,Fair,Fair,Fair,Ref,Ref,Fair,0,2,4,6,S3,R4,0,0,1,0,0,0,1,1,,0,,1,,0,,2,zLow Stress,1,,1,,1,,0,,0,,0,,0,
,VDEQ_BUG,1ABUL025.94,1ABUL025.94,GoodRef,NRO,10/9/2015,38.889444,-77.570556,Potomac,Potomac,Northern Piedmont,Piedmont,9.73,7.42,221,0.62,0.03,158,Ref,Ref,Fair,Ref,Ref,Ref,0,5,1,6,S3,R2,0,0,1,0,1,0,0,0,,0,,0,,0,,1,,1,,1,,2,GoodRef,0,,0,,1,,1,
