StationID,Latitude,Longitude,WQM_STA_STRAHER_ORDER,EPA_ECO_US_L3CODE,EPA_ECO_US_L3NAME,BASINS_HUC_8_NAME,BASINS_VAHU6,WQS_SEC,WQS_CLASS,WQS_SPSTDS,WQS_TROUT,WQS_TIER_III,Admin_Region,Sta_Huc_Code,Sta_Huc_Sbc_Bsc_Code,Sta_Huc_Sbc_Code,Sta_Wqm_Wat_Shed_Code
4ABLG001.95,37.1527,-80.176,2,66,Blue Ridge,Upper Roanoke,RU02,7,VI,pH,Yes,No,WCRO,3010101,4,A,L01
4ABTM000.04,37.1017,-80.2194,3,66,Blue Ridge,Upper Roanoke,RU02,7,VI,pH,Yes,No,WCRO,3010101,4,A,L01
4ABTM004.48,37.1315,-80.18030556,3,66,Blue Ridge,Upper Roanoke,RU02,7,VI,pH,Yes,No,WCRO,3010101,4,A,L01
4ABTM008.98,37.161292,-80.143186,3,66,Blue Ridge,Upper Roanoke,RU02,7,VI,pH,Yes,No,WCRO,,4,A,
4ACEC001.24,36.98821111,-79.55127222,3,45,Piedmont,Upper Roanoke,RU37,6a,III,No,No,No,WCRO,3010101,4,A,L18
4ACRR011.77,36.9002,-79.45780556,2,45,Piedmont,Banister,RD55,2d,III,PWS,No,No,SCRO,3010105,4,A,L66
4ADAN183.06,36.65003611,-80.44773056,3,66,Blue Ridge,Upper Dan,RD02,3g,V,No,Yes,No,WCRO,3010103,4,A,L42
4ADAN199.71,36.7024,-80.3995,2,66,Blue Ridge,Upper Dan,RD01,3g,IV,No,No,No,WCRO,3010103,4,A,L42
4ADAY003.97,37.40947778,-79.75106111,0,67,Ridge and Valley,Upper Roanoke,RU39,5a,V,No,Yes,No,WCRO,3010101,4,A,L20
4AGOS000.71,37.0975,-80.2147,3,66,Blue Ridge,Upper Roanoke,RU01,7,V,pH,Yes,No,WCRO,3010101,4,A,L01
4AIVV002.00,36.68264167,-80.36998889,2,66,Blue Ridge,Upper Dan,RD01,0,0,No,No,No,WCRO,3010103,4,A,L42
4ALLC002.18,37.0315,-79.3066,2,45,Piedmont,Upper Roanoke,RU47,5a,III,PWS,No,No,WCRO,,4,A,
4AMSA000.02,36.7925,-80.004212,3,45,Piedmont,Upper Dan,RD21,4,III,No,No,No,WCRO,,4,A,
4ASIT001.46,37.3071,-80.319,1,67,Ridge and Valley,Upper Roanoke,RU06,7,IV,pH,No,No,WCRO,3010101,4,A,L02
4ASOT002.90,36.86985,-80.18422778,1,45,Piedmont,Upper Dan,RD17,4,VI,No,Yes,No,WCRO,3010103,4,A,L51
4ASRE063.69,36.8436,-80.1617,3,45,Piedmont,Upper Dan,RD17,3g,V,No,Yes,No,WCRO,3010103,4,A,L51
4ASRE069.46,36.80630556,-80.20038889,4,45,Piedmont,Upper Dan,RD17,3g,V,No,Yes,No,WCRO,3010103,4,A,L51
4AXOF001.26,36.802,-79.7009,1,45,Piedmont,Upper Roanoke,RU34,6a,III,No,No,No,WCRO,3010101,4,A,L17
4AXSP001.93,36.6272,-80.1882,1,45,Piedmont,Upper Dan,RD08,4,III,No,No,No,WCRO,3010103,4,A,L44
