StationID,Sta_Desc,BenSampID,RepNum,Collection Date,Sample Comments,Collected By,Field Team,Entered By,Taxonomist,Entered Date,Gradient,Target Count,Season,EPA_ECO_US_L3NAME,EPA_ECO_US_L3CODE
4ABLG001.95,Along Rt. 631,BLG5561R110,1,4/3/2014,,GEORGEJ DEVLIN,"GJD, EJ",GJD,GEORGEJ DEVLIN,2014-06-25T00:00:00Z,Riffle,110,Spring,Blue Ridge,66
4ABLG001.95,Along Rt. 631,BLG6717R110,1,10/6/2014,,GEORGEJ DEVLIN,GJD,RDM,RICHARD (DREW)D MILLER,2015-06-04T00:00:00Z,Riffle,110,Fall,Blue Ridge,66
4ABTM000.04,Rt. 637 Bridge,FAMBTM1578,1,10/12/2000,,GEORGEJ DEVLIN,"GD, MR",GJD,GEORGEJ DEVLIN,2001-02-01T00:00:00Z,Riffle,110,Fall,Blue Ridge,66
4ABTM000.04,Rt. 637 Bridge,FAMBTM10146,1,6/4/2002,,GEORGEJ DEVLIN,GJD,GJD,GEORGEJ DEVLIN,2003-01-30T00:00:00Z,Riffle,110,Spring,Blue Ridge,66
4ABTM000.04,Rt. 637 Bridge,BTM7533R110,1,5/5/2015,,RICHARD (DREW)D MILLER,RDM,RDM,RICHARD (DREW)D MILLER,2016-02-02T00:00:00Z,Riffle,110,Spring,Blue Ridge,66
4ABTM000.04,Rt. 637 Bridge,BTM8835R110,1,11/23/2015,,RICHARD (DREW)D MILLER,RDM,GJD,GEORGEJ DEVLIN,2017-02-16T00:00:00Z,Riffle,110,Fall,Blue Ridge,66
4ABTM004.48,Upstream of RT 669 bridge,FAMBTM5164,1,9/12/2008,,GEORGEJ DEVLIN,"GJD, Johnsons",GJD,GEORGEJ DEVLIN,2008-12-08T00:00:00Z,Riffle,110,Fall,Blue Ridge,66
4ABTM004.48,Upstream of RT 669 bridge,BTM7532R110,1,5/4/2015,,RICHARD (DREW)D MILLER,RDM,RDM,RICHARD (DREW)D MILLER,2016-02-02T00:00:00Z,Riffle,110,Spring,Blue Ridge,66
4ABTM004.48,Upstream of RT 669 bridge,BTM8843R110,1,11/18/2015,,RICHARD (DREW)D MILLER,RDM,RDM,RICHARD (DREW)D MILLER,2017-02-16T00:00:00Z,Riffle,110,Fall,Blue Ridge,66
4ABTM004.48,Upstream of RT 669 bridge,BTM8844R110,2,11/18/2015,,RICHARD (DREW)D MILLER,RDM,RDM,RICHARD (DREW)D MILLER,2017-02-16T00:00:00Z,Riffle,110,Fall,Blue Ridge,66
4ABTM008.98,Bottom Cr. At rivermile 8.98,BTM9953R110,1,4/11/2017,,GEORGEJ DEVLIN,"GJD, JRH",GJD,GEORGEJ DEVLIN,2017-12-18T00:00:00Z,Riffle,110,Spring,Blue Ridge,66
4ABTM008.98,Bottom Cr. At rivermile 8.98,BTM10680R110,1,8/31/2017,,GEORGEJ DEVLIN,GJD,RDM,RICHARD (DREW)D MILLER,2018-10-01T00:00:00Z,Riffle,110,Fall,Blue Ridge,66
4ABTM008.98,Bottom Cr. At rivermile 8.98,BTM10704R110,2,8/31/2017,,GEORGEJ DEVLIN,GJD,GJD,GEORGEJ DEVLIN,2018-10-01T00:00:00Z,Riffle,110,Fall,Blue Ridge,66
4ACEC001.24,Upstr. of Yorkshire Dr. (Rt. 777),CEC639R110,1,4/14/2010,,GEORGEJ DEVLIN,"GJD, RDM",GJD,GEORGEJ DEVLIN,2020-07-30T17:19:54Z,Riffle,110,Spring,Piedmont,45
4ACEC001.24,Upstr. of Yorkshire Dr. (Rt. 777),CEC1653R110,1,10/26/2010,,GEORGEJ DEVLIN,GJD,GJD,GEORGEJ DEVLIN,2011-11-28T00:00:00Z,Riffle,110,Fall,Piedmont,45
4ACEC001.24,Upstr. of Yorkshire Dr. (Rt. 777),CEC4664R110,1,5/28/2013,,RICHARD (DREW)D MILLER,RDM,GJD,GEORGEJ DEVLIN,2013-12-03T00:00:00Z,Riffle,110,Spring,Piedmont,45
4ACEC001.24,Upstr. of Yorkshire Dr. (Rt. 777),CEC5204R110,1,10/28/2013,,RICHARD (DREW)D MILLER,RDM,GJD,GEORGEJ DEVLIN,2014-03-10T00:00:00Z,Riffle,110,Fall,Piedmont,45
4ACRR011.77,Cherrystone Ck US of trib crossing 798,CRR8436R110,1,3/8/2016,,KELLYJ HAZLEGROVE,Hazlegrove,KJW,KELLYJ HAZLEGROVE,2016-09-12T00:00:00Z,Riffle,110,Spring,Piedmont,45
4ACRR011.77,Cherrystone Ck US of trib crossing 798,CRR9104R110,1,9/29/2016,,KELLYJ HAZLEGROVE,Hazlegrove,KJW,KELLYJ HAZLEGROVE,2017-04-26T00:00:00Z,Riffle,110,Fall,Piedmont,45
4ACRR011.77,Cherrystone Ck US of trib crossing 798,CRR9253R110,2,9/29/2016,,KELLYJ HAZLEGROVE,Hazlegrove,KJW,KELLYJ HAZLEGROVE,2017-05-22T00:00:00Z,Riffle,110,Fall,Piedmont,45
4ACRR011.77,Cherrystone Ck US of trib crossing 798,CRR9961R110,1,4/12/2017,,KELLYJ HAZLEGROVE,Hazlegrove,KJW,KELLYJ HAZLEGROVE,2017-12-18T00:00:00Z,Riffle,110,Spring,Piedmont,45
4ACRR011.77,Cherrystone Ck US of trib crossing 798,CRR9962R110,2,4/12/2017,,KELLYJ HAZLEGROVE,Hazlegrove,KJW,KELLYJ HAZLEGROVE,2017-12-18T00:00:00Z,Riffle,110,Spring,Piedmont,45
4ACRR011.77,Cherrystone Ck US of trib crossing 798,CRR10647R110,1,11/2/2017,,KELLYJ HAZLEGROVE,Hazlegrove,KJW,KELLYJ HAZLEGROVE,2018-10-01T00:00:00Z,Riffle,110,Fall,Piedmont,45
4ACRR011.77,Cherrystone Ck US of trib crossing 798,CRR10648R110,2,11/2/2017,,KELLYJ HAZLEGROVE,Hazlegrove,KJW,KELLYJ HAZLEGROVE,2018-10-01T00:00:00Z,Riffle,110,Fall,Piedmont,45
4ACRR011.77,Cherrystone Ck US of trib crossing 798,CRR12017R110,1,3/26/2019,,KELLYJ HAZLEGROVE,Hazlegrove,KJW,KELLYJ HAZLEGROVE,2020-02-14T00:00:00Z,Riffle,110,Spring,Piedmont,45
4ACRR011.77,Cherrystone Ck US of trib crossing 798,CRR12816R110,1,9/4/2019,,KELLYJ HAZLEGROVE,Hazlegrove,KJW,KELLYJ HAZLEGROVE,2020-06-11T00:00:00Z,Riffle,110,Fall,Piedmont,45
4ACRR011.77,Cherrystone Ck US of trib crossing 798,CRR12196R110,1,9/4/2019,,KELLYJ HAZLEGROVE,Hazlegrove,KJW,KELLYJ HAZLEGROVE,2020-02-14T00:00:00Z,Riffle,110,Fall,Piedmont,45
4ADAN183.06,Off Rt. 648 upstream of Roaring Cr. Mout,FAMDAN3151,1,5/19/2004,,MARYV RUMMEL (DAIL),MRD,MVR,MARYV RUMMEL (DAIL),2005-01-06T00:00:00Z,Riffle,110,Spring,Blue Ridge,66
4ADAN183.06,Off Rt. 648 upstream of Roaring Cr. Mout,FAMDAN3371,1,10/20/2004,,LAWRENCED WILLIS,GJD,GJD,GEORGEJ DEVLIN,2005-06-13T00:00:00Z,Riffle,110,Fall,Blue Ridge,66
4ADAN183.06,Off Rt. 648 upstream of Roaring Cr. Mout,DAN8083R110,1,5/4/2015,,RICHARD (DREW)D MILLER,RDM,RDM,RICHARD (DREW)D MILLER,2016-06-24T00:00:00Z,Riffle,110,Spring,Blue Ridge,66
4ADAN183.06,Off Rt. 648 upstream of Roaring Cr. Mout,DAN8834R110,1,11/18/2015,,RICHARD (DREW)D MILLER,RDM,GJD,GEORGEJ DEVLIN,2017-02-16T00:00:00Z,Riffle,110,Fall,Blue Ridge,66
4ADAN199.71,Between Rt. 601 & Rt. 639,DAN5653R110,1,5/5/2014,,GEORGEJ DEVLIN,"GD, BS",GJD,GEORGEJ DEVLIN,2014-08-22T00:00:00Z,Riffle,110,Spring,Blue Ridge,66
4ADAN199.71,Between Rt. 601 & Rt. 639,DAN6462R110,1,10/20/2014,,GEORGEJ DEVLIN,GJD,GJD,GEORGEJ DEVLIN,2015-03-02T00:00:00Z,Riffle,110,Fall,Blue Ridge,66
4ADAY003.97,NORTH OF RT. 697-USFS ACCESS OFF RT. 460,FAMDAY02585,1,10/18/2002,,MARYV RUMMEL (DAIL),MR,MVR,MARYV RUMMEL (DAIL),2003-06-17T00:00:00Z,Riffle,110,Fall,Ridge and Valley,67
4ADAY003.97,NORTH OF RT. 697-USFS ACCESS OFF RT. 460,FAMDAY4074,1,6/6/2005,,GEORGEJ DEVLIN,GJD,GJD,GEORGEJ DEVLIN,2007-01-04T00:00:00Z,Riffle,110,Spring,Ridge and Valley,67
