StationID,BenSampID,Collection Date,Season,RepNum,Acentrella,Acroneuria,Allocapnia,Amphinemura,Anchytarsus,Ancylidae,Antocha,Baetidae,Baetis,Blepharicera,Cambaridae,Capniidae,Cheumatopsyche,Chimarra,Chironomidae,Chloroperlidae,Cinygmula,Clinocera,Corydalidae,Dicranota,Diplectrona,Diploperla,Dolophilodes,Drunella,Ectopria,Elmidae,Epeorus,Ephemerella,Ephemerellidae,Eurylophella,Glossosoma,Gomphidae,Haploperla,Hemerodromia,Heptageniidae,Heterocloeon,Hexatoma,Hydracarina,Hydropsyche,Hydropsychidae,Isonychia,Isonychiidae,Isoperla,Lepidostoma,Leptophlebiidae,Leucrocuta,Leuctra,Leuctridae,Lumbriculidae,Maccaffertium,Micrasema,Naididae,Nigronia,Oligochaeta,Optioservus,Oulimnius,Paraleptophlebia,Peltoperlidae,Perlesta,Perlidae,Perlodidae,Philopotamidae,Plauditus,Plecoptera,Pleuroceridae,Polycentropus,Promoresia,Prosimulium,Psephenidae,Psephenus,Pteronarcyidae,Pteronarcys,Rhithrogena,Rhyacophila,Rhyacophilidae,Serratella,Simuliidae,Simulium,Stenacron,Stenelmis,Sweltsa,Taeniopterygidae,Taeniopteryx,Tallaperla,Teloganopsis deficiens,Tipula,Tipulidae,Trichoptera
4ABLG001.95,BLG5561R110,4/3/2014,Spring,1,,1,,1,,,,,2,,1,,,,6,,5,,,,3,,,,2,,39,1,1,,,,,,7,,1,,1,,,,1,,2,,,,,,,,1,,,,2,,,2,,,,,,,,16,,,,,,4,,,,,,,3,,,4,,,,
4ABLG001.95,BLG6717R110,10/6/2014,Fall,1,,2,,1,,,,,,,,,2,,1,,,,,,10,,1,,,,8,12,,2,,,,,2,,,,4,1,,,,2,4,4,,2,,9,,,,,4,5,,,,1,4,,1,1,,1,,,,,,1,,2,,,,,,,18,,2,,,,,1
4ABTM000.04,FAMBTM1578,10/12/2000,Fall,1,,,,,,,,20,,,4,,,,2,,,,9,,,,,,,3,,,,,,1,,,10,,,,,64,,4,,,,,,,2,,,,,,,,,,,19,,21,,,2,,,,2,,6,,,,,,23,,,,,,,,,,,
4ABTM000.04,FAMBTM10146,6/4/2002,Spring,1,,,,,,,,12,,,,,,,34,,,,,,,,,,,1,,,5,,,,,,4,,,,,18,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,16,,,,,,,,,,3,
4ABTM000.04,BTM7533R110,5/5/2015,Spring,1,5,1,,,,1,2,7,,,,,,,9,,,,,,,,,5,,,3,32,,,,,,,,,,,1,,1,,,,,,,,,6,,2,,1,,,,,4,2,1,,16,,,,,,,3,,,,,,,,6,,,,,,,,,,1
4ABTM000.04,BTM8835R110,11/23/2015,Fall,1,,,6,,,,,1,,,,1,1,1,12,,,,,,,,,,,,4,2,13,2,,,,,1,,,,3,1,1,,1,,,,,,,2,,1,,,1,,,,,,,,,12,,,,12,,,,,,1,,,8,,,,,8,7,,,,,3
4ABTM004.48,FAMBTM5164,9/12/2008,Fall,1,,,,,,,,1,,,2,,,,9,,,,7,,,,,,,9,,,,,,,,,36,,,1,,27,,1,,,1,,,1,,,,,,,,,,,,7,,7,,,,,,,1,,,,,,,,3,,,,,,,,,,,
4ABTM004.48,BTM7532R110,5/4/2015,Spring,1,7,1,,,,,,1,,1,,,7,,12,,,,,,,1,,1,,,5,33,1,,,,,,3,,,1,3,,,,1,,,,,2,,7,,,,,,1,,,,1,1,,9,1,,,,,,1,,,,,,,,6,,,,,1,,,,,
4ABTM004.48,BTM8843R110,11/18/2015,Fall,1,2,2,1,,,,,,,,,8,2,,2,,,,,,1,,,,,,15,3,4,1,,,,,4,,,1,1,,,,,,,1,,,,12,,,,,2,,,,,,,,3,3,,,,8,,,,,,1,,,,,,,,,12,,,,,1
4ABTM008.98,BTM9953R110,4/11/2017,Spring,1,2,1,,,,,,,1,,1,,,,7,,9,,,,,,,1,,,17,35,7,,,,,,,1,1,,1,,,,,,9,,,,,1,,,,,3,1,4,,,,2,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,
4ABTM008.98,BTM10680R110,8/31/2017,Fall,1,1,2,,,,,,2,2,,,,8,,7,,,,,,1,,3,,,,5,,8,,,,,,8,,1,,9,5,1,,,,,,3,,,25,,,,,1,3,4,,,1,,,,,,,,,,,,,,3,,,,1,,,1,,,3,,,,
4ACEC001.24,CEC639R110,4/14/2010,Spring,1,1,2,,20,,,,,2,,,1,,,8,,,,,,,,,,,,5,44,2,,,,,,,,,,,,,,1,,,,,,,5,,,,,,1,,,,,,,,1,1,,,,,2,,,,3,,,,5,,,1,,,,,,,
4ACEC001.24,CEC1653R110,10/26/2010,Fall,1,1,1,,,,,,,,,,4,24,4,3,,,,,1,,,,,3,,6,,2,,,4,,,6,,,,,1,,,,,,,,,,8,,,,,17,,2,,,3,,,,,,1,,,,,,,,2,,,,,,,,,16,,,1,,
4ACEC001.24,CEC4664R110,5/28/2013,Spring,1,7,,,,1,,,,,,,,1,3,55,,,1,,,,,,1,,,2,,,,,,,,,,,,,3,,,,,4,,4,,,4,,,,,,,1,2,1,,,,,,,1,,,,,,,,1,,,,13,,1,,,,,,,,2
4ACEC001.24,CEC5204R110,10/28/2013,Fall,1,1,3,,,,,,,,,,,19,5,11,,,,,,,1,,,1,,,,,,,,,,5,,,,,2,2,,,,,7,,,,31,,,2,,,,,,,1,2,,,,1,4,,,,1,,,,,,,,,,,,,5,1,,5,,
