JRH_Final_Ref_Cod,DataSource,StationID,UID,Coastal,Latitude,Longitude,Sta_Desc,US_L3CODE,US_L3NAME,US_L4CODE,US_L4NAME,VAHU6,ASSESS_REG,OFFICE_NM,VaName,Tidal,VAHUSB,FedName,HUC10,Basin,BASIN_CODE,Basin_Code,CountyCityName,FIPS,BASINS_HUC_12,WQS_ID,WQS_CLASS,WQS_SPSTDS,WQS_PWS,WQS_TROUT,WQS_TIER_III,Order,EDASOrder,totalArea_sqMile,ELEVMIN,ELEVMAX,ELEVMEAN,ELEVSD,ELEVRANGE,SLPMIN,SLPMAX,SLPMEAN,SLPSD,SLPRANGE,wshdRain_mmyr,siteRain_mmyr,wshdRain_inyr,siteRain_inyr,wshedRain_inyr
Str,VDEQ_BUG,1AABR000.78,,FALSE,39.179078,-78.085543,Rt. 659 Bridge,67,Ridge and Valley,67b,Northern Shale Valleys,PU17,VRO,Valley,Abrams Creek,N,PU,Abrams Creek,207000409,Shenandoah River Basin,1A,Potomac-Lower,Frederick,69,20700040902,RL_1A_235745,IV,pH-6.5-9.5,,,,,,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1AACO014.57,,FALSE,38.811303,-77.230206,Rt. # 620 (Braddock Rd),45,Piedmont,45e,Northern Inner Piedmont,PL30,NRO,Northern,Accotink Creek,T,PL,Accotink Creek,207001004,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100402,RL_1A_315907,III,b,,,,,3,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1ABIR000.76,,FALSE,38.83638889,-77.45,Rt. # 29/211 (Lee Hwy),64,Northern Piedmont,64a,Triassic Lowlands,PL45,NRO,Northern,Cub Run,N,PL,Cub Run,207001007,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100704,RL_1A_315345,III,g,,,,,2,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1ABRB002.15,1ABRB002.15_2012,FALSE,39.04666667,-77.43277778,Rt. # 7 (Leesburg Pike),64,Northern Piedmont,64a,Triassic Lowlands,PL19,NRO,Northern,Broad Run-Beaverdam Run,N,PL,Beaverdam Run-Broad Run,207000809,Potomac River Basin,1A,Potomac-Lower,Loudoun,107,20700080903,RL_1A_316712,III,PWS,Yes,,,3,3,76.14139201,59,150,93.94204877,15.32350071,91,0,14.46830273,1.931989727,1.444976916,14.46830273,21417,843.1894317,,40.10868308,1018.76
Str,VDEQ_BUG,1ACRM004.09,1ACRM004.09_2016,FALSE,38.94428889,-77.79776944,4.3 miles upstream from Rt. 50,64,Northern Piedmont,64c,Piedmont Uplands,PL09,NRO,Northern,Cromwells Run,N,PL,Cromwells Run,207000805,Potomac River Basin,1A,Potomac-Lower,Fauquier,61,20700080504,RL_1A_239646,III,,,,,3,3,13.078202,118,232,169.1520158,19.87831721,114,0,17.97542763,4.272030772,2.352772143,17.97542763,4206.75,1042.76,165.6201682,41.05356548,
Str,VDEQ_BUG,1ACUB002.61,,FALSE,38.82113333,-77.46593056,Rt. # 658 (Compton Rd),64,Northern Piedmont,64b,Trap Rock and Conglomerate Uplands,PL45,NRO,Northern,Cub Run,N,PL,Cub Run,207001007,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100704,RL_1A_315470,III,g,,,,,4,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1ACUB003.74,,FALSE,38.83305555,-77.46361111,Rt. # 29/211,64,Northern Piedmont,64a,Triassic Lowlands,PL45,NRO,Northern,Cub Run,N,PL,Cub Run,207001007,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100704,RL_1A_315503,III,g,,,,,4,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1ACUB004.63,1ACUB004.63_2009,FALSE,38.84146389,-77.46378611,Upstream 0.6 mi. from Rt. # 29,64,Northern Piedmont,64a,Triassic Lowlands,PL45,NRO,Northern,Cub Run,N,PL,Cub Run,207001007,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100704,,,,,,,4,4,38.6644449,59,146,90.98185584,12.92217971,87,0,20.08985138,1.692325699,1.327556717,20.08985138,8055.37,966.9,317.1407224,38.06694969,
Str,VDEQ_BUG,1ACUB008.60,,FALSE,38.882375,-77.46994722,Rt. # 661 (Old Lee Highway),64,Northern Piedmont,64b,Trap Rock and Conglomerate Uplands,PL45,NRO,Northern,Cub Run,N,PL,Cub Run,207001007,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100704,RL_1A_315329,III,g,,,,,2,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1ACUB011.25,,FALSE,38.90833333,-77.46683333,Rt. # 50  (John Mosby Hwy),64,Northern Piedmont,64a,Triassic Lowlands,PL45,NRO,Northern,Cub Run,N,PL,Cub Run,207001007,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100704,RL_1A_316116,III,g,,,,,2,,,,,,,,,,,,,,,,
Str,VDEQ_BUG,1AELC001.39,,FALSE,38.87130278,-77.49423056,Rt. # 609 (Pleasant Valley Rd),64,Northern Piedmont,64a,Triassic Lowlands,PL45,NRO,Northern,Cub Run,N,PL,Cub Run,207001007,Potomac River Basin,1A,Potomac-Lower,Fairfax,59,20700100704,RL_1A_315371,III,g,,,,,3,,,,,,,,,,,,,,,,
