StationID,BenSampID,Collection Date,Collection DateTime,RepNum,Acentrella,Acerpenna,Acroneuria,Agnetina,Allocapnia,Amphinemura,Anchytarsus,Ancylidae,Ancyronyx variegatus,Antocha,Argia,Asellidae,Atherix,Baetidae,Baetis,Baetisca,Bezzia,Boyeria,Brachycentrus,Caenis,Cambaridae,Capniidae,Ceratopsyche,Cheumatopsyche,Chimarra,Chironomidae,Cinygmula,Corbicula,Corydalus,Crangonyctidae,Dicranota,Diplectrona,Dolophilodes,Drunella,Dubiraphia,Eccoptura xanthenes,Ectopria,Elmidae,Epeorus,Ephemerella,Ephemerellidae,Ephemeroptera,Eurylophella,Glossosoma,Gomphidae,Haploperla,Helichus,Hemerodromia,Heptageniidae,Heterocloeon,Hexatoma,Hydracarina,Hydropsyche,Hydropsyche/Ceratopsyche,Hydropsychidae,Hydroptila,Isonychia,Isoperla,Lepidostoma,Leptophlebiidae,Leucrocuta,Leuctra,Leuctridae,Lumbriculidae,Maccaffertium,Macronychus glabratus,Microcylloepus,Naididae,Neophylax,Nigronia,Oecetis,Oligochaeta,Optioservus,Oulimnius,Paragnetina,Paraleptophlebia,Perlesta,Perlidae,Perlodidae,Physidae,Pisidiidae,Planorbidae,Plauditus,Plecoptera,Pleuroceridae,Polycentropus,Probezzia,Promoresia,Prosimulium,Psephenus,Pteronarcys,Rhithrogena,Rhyacophila,Serratella,Simuliidae,Simulium,Stenacron,Stenelmis,Sweltsa,Taeniopteryx,Tallaperla,Teloganopsis deficiens,Tipula,Trichoptera,Tricladida
6BLUC000.73,LUC710,9/29/2008,2008-09-29T12:50:00Z,1,,,,,,,,,,,,4,,,1,,,,,,,,,,,4,,,,,,,,,3,,,,,,1,,,,,,,,7,,,,,,,,,,,1,,,,,2,,,,,,,,81,,,,,,,,2,,,,80,,,,,2,,,,,,,2,1,,,,,,,
6BTMP006.26,TMP744,9/30/2008,2008-09-30T11:20:00Z,1,1,,,,,,,,,,,,,,1,,,,,,,,,26,2,8,,,,,,2,,,,,5,,,,,,,,3,,,,,,,1,6,,5,,,,,,,,,1,12,,1,,,,,1,12,,,,,,,,,,,,4,,,1,,17,,,,,,26,,8,,,,,41,,
6BLTL007.84,LTL700,9/30/2008,2008-09-30T14:35:00Z,1,,,,,,,,,,2,,7,,,1,,,,,,,,1,18,,14,,,,,,,,,,,,,1,4,,,,1,,,,,15,,,6,,,,,4,,,21,,1,,,12,,,,,,,1,60,,,,,,,,,,,,14,,,,,6,,,,,,1,3,,,,,,,,
6BIDN003.15,IDN696,9/30/2008,2008-09-30T13:02:00Z,1,,,,,,,,,,,,,,1,11,,,,,,,,1,,,8,,,,,,,13,,,,,,6,,,,,,,,,,,,,4,1,,1,,,,,,,,,1,15,,,,,,,,29,,,,,,,,,,,,18,,,,,6,,,2,1,,34,,,,,,,,,
6BPLC000.49,PLC732,10/1/2008,2008-10-01T15:50:00Z,1,1,,,,,,,,,,,7,,1,9,,,,,,,,,19,,5,,,,,,,,,,,2,,10,,,,,,,,,,1,,,2,,,1,,,,,,5,11,,2,25,,,,,,,1,39,,,,,,,,,,,,24,1,,,,19,,,2,4,,2,6,,,,2,,6,,
6BCOC001.19,COC672,10/1/2008,2008-10-01T12:35:00Z,1,,,2,,,,,,,,,,,,4,,,,,,,,4,2,,5,,,,,,15,8,,,,,,15,,,,,,,,,,,,,,,,,,24,,,16,1,3,,,15,,,,,2,,,8,1,,,,,,,,,,,20,,,,,18,,,3,,,,,,6,,7,,2,,
6BNFC022.47,NFC720,10/1/2008,2008-10-01T13:35:00Z,1,,,1,,,,,3,,,2,,6,,6,,,,,7,,,,10,2,14,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,14,,,,,,,1,11,,3,3,,3,,,40,,,,,,,,,,,,,,,,,36,,,,1,,3,,7,,,,,,,
6BDAK001.71,DAK676,10/1/2008,2008-10-01T11:35:00Z,1,,,,,,,,,,,,106,,,,,,,,,,,,,2,2,,,,,,6,3,,,,1,,,,1,,,,,,,1,,,,,,,,,19,1,,,,1,,,,,,,,,,,7,,,,,,,,,,,,14,,,,,9,,,,,,,,1,1,,3,,1,,
6BGSY000.25,GSY681,10/1/2008,2008-10-01T13:55:00Z,1,,,,,,,,,,,,,,,4,,,,,1,,,,2,,8,,,,,,,1,,,,,,3,,,,,,,,,,23,,,,,,6,,3,,,1,,,,,44,,,,1,,,,19,,,,,,,,,,,,4,,,,,11,,,,21,,3,2,3,,,1,,8,,2
1ACUB004.63,CUB54R200,3/18/2009,2009-03-18T11:00:00Z,1,,,,,,,,2,,,,,,,,,,,,1,,,,5,,149,,3,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,6,2,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,17,,,,,,,8
