StationID,Collection Date,BenSampID,Collection DateTime,RepNum,Acentrella,Acerpenna,Acroneuria,Allocapnia,Amphinemura,Anchytarsus,Ancylidae,Ancyronyx variegatus,Antocha,Argia,Asellidae,Atherix,Baetidae,Baetis,Bezzia,Bezzia/Palpomyia,Boyeria,Brachycentrus,Caenis,Calopteryx,Cambaridae,Capniidae,Ceratopsyche,Cheumatopsyche,Chimarra,Chironomidae,Cinygmula,Corbicula,Corydalus,Crangonyctidae,Dicranota,Diplectrona,Dolophilodes,Drunella,Dubiraphia,Eccoptura xanthenes,Ectopria,Elmidae,Epeorus,Ephemerella,Ephemerellidae,Eurylophella,Glossosoma,Gomphidae,Haploperla,Helichus,Hemerodromia,Heptageniidae,Heterocloeon,Hexatoma,Hydracarina,Hydrobiidae,Hydropsyche,Hydropsyche/Ceratopsyche,Hydropsychidae,Hydroptila,Isonychia,Isoperla,Lepidostoma,Leptophlebiidae,Leucrocuta,Leuctra,Lumbriculidae,Lype diversa,Maccaffertium,Macronychus glabratus,Microcylloepus,Naididae,Neophylax,Nigronia,Oecetis,Oligochaeta,Optioservus,Oulimnius,Paragnetina,Paraleptophlebia,Perlesta,Perlidae,Perlodidae,Physidae,Pisidiidae,Planorbidae,Plauditus,Plecoptera,Pleuroceridae,Polycentropus,Probezzia,Promoresia,Prosimulium,Psephenus,Pseudocloeon,Pteronarcys,Rhyacophila,Serratella,Simuliidae,Simulium,Stenacron,Stenelmis,Sweltsa,Taeniopteryx,Tallaperla,Teloganopsis deficiens,Tipula,Triaenodes,Trichoptera,Tricladida,Yugus,Zapada,Zealeuctra,Zygoptera
3-BLD001.54,3/28/2003,BLD1826,2003-03-28T10:00:00Z,1,,,,,,,,,,,5,,,2,,,,,,,1,,,,,93,,,,,,,,,4,,,,,42,,1,,,,,,,,,2,1,,,,,,2,,,,,,,1,,,,,,,1,,,,,,,1,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
3-BLD001.54,4/6/2003,BLD1827,2003-04-06T10:00:00Z,1,,,,,,,2,1,,,2,,,13,,,,,,,,,,,,137,,,,,,,,,14,,,,,54,,1,,,,1,,,,,,8,,,1,,,4,,,,,,,4,3,,,,,,3,,,,,,,1,3,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-GUN004.00,4/17/2003,GUN1825,2003-04-17T10:00:00Z,1,,,,,,,,,,,198,,,,,,,,,,1,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,1,,,,,,,
2-WRD005.40,4/18/2003,WRD2074,2003-04-18T10:00:00Z,1,,,,,,,,5,,1,40,,,20,,,,,,1,,,,,,67,,7,,,1,,,,4,,,,,10,,3,,,,,,,,,,6,,,,,,1,,,,1,,,11,2,,,,,,3,,,,,,1,,,,,,,1,,,,,,,,,,4,,8,,,2,,,,,,,,,,
2-WER001.93,12/16/2003,WER1829,2003-12-16T10:00:00Z,1,,,,,,,,,,,8,,,,,,,,,,1,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,2,,,,,,,,,,,,,102,,,,,,,,,,,,,,,
8-TST001.35,12/28/2003,TST1824,2003-12-28T10:00:00Z,1,,,,,,,3,,,,65,,,8,,,,,,2,,,,25,,30,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,6,,,,,,,,,,26,2,,,,,,,,,,1,,,1,2,,,,,,,,,,,,,,,17,,11,,,,,,,,,,,,,
2-WER001.93,1/4/2004,WER1828,2004-01-04T10:00:00Z,1,,,,,,,1,,,,3,,,24,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ACON002.88,2/20/2004,CON1806,2004-02-20T10:00:00Z,1,,,,,,,,1,,,5,,,20,,,,,,,,,,,,84,,,,,,,,,,,,,,,,1,,,,,1,,,2,,,,,,,,,,,,,,2,8,4,,,,,,8,,,,2,,,2,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,
6BLUC000.73,9/29/2008,LUC710,2008-09-29T12:50:00Z,1,,,,,,,,,,,4,,,1,,2,,,,,,,,,,4,,,,,,,,,3,,,,,,1,,,,,,,7,,,,,,,,,,,,1,,,,,2,,,,,,,,81,,,,,,,,2,,,,80,,,,,2,,,,,,,2,1,,,,,,,,,,,,
6BIDN003.15,9/30/2008,IDN696,2008-09-30T13:02:00Z,1,,,,,,,,,,,,,1,11,,,,,,,,,1,,,8,,,,,,,13,,,,,,6,,,,,,,,,,,,4,,1,,1,,,,,,,,1,,15,,,,,,,,29,,,,,,,,,,,,18,,,,,6,,,2,1,,34,,,,,,,,,,,,,,
