DataSource,X,Coastal,StationID,UID,Year,Season,JulianDate,Collection.Date,Sta_Desc,Latitude,Longitude,US_L3CODE,US_L3NAME,US_L4CODE,US_L4NAME,VAHU6,ASSESS_REG,OFFICE_NM,VaName,Tidal,VAHUSB,FedName,HUC10,Basin,BASIN_CODE,Basin_Code,CountyCityName,FIPS,BASINS_HUC_12,WQS_ID,WQS_CLASS,WQS_SPSTDS,WQS_PWS,WQS_TROUT,WQS_TIER_III,Order,EDASOrder,totalArea_sqMile,ELEVMIN,ELEVMAX,ELEVMEAN,ELEVSD,ELEVRANGE,SLPMIN,SLPMAX,SLPMEAN,SLPSD,SLPRANGE,wshdRain_mmyr,siteRain_mmyr,wshdRain_inyr,siteRain_inyr,wshedRain_inyr,BenSampID,RepNum,Gradient,Target.Count,StreamCate,Bioregion,Bioregionsize,BioregionSeason
VDEQ_BUG,Ref,NA,1ABAR052.96,1ABAR052.96_2017_Spring,2017,Spring,117,4/27/2017,Off Rt. 704,39.208417,-78.401,67,Ridge and Valley,67b,Northern Shale Valleys,PU10,VRO,Valley,Back Creek-Mine Spring Run,N,PU,Mine Spring Run-Back Creek,207000404,Shenandoah River Basin,1A,Potomac-Lower,Frederick,69,20700040401,RL_1A_233877,V,pH-6.5-9.5,,Yes,,2,NA,3.68977835,298,783,456.9449838,110.0201252,485,0,37.77479553,11.04900421,6.488180691,37.77479553,3844,953.83,151.3386644,37.55238248,NA,BAR9716,1,Riffle,200,Small,Mountain,SmallMountainSpring,MountainSpring
VDEQ_BUG,Ref,NA,1ABAR052.96,1ABAR052.96_2017_Fall,2017,Fall,257,9/14/2017,Off Rt. 704,39.208417,-78.401,67,Ridge and Valley,67b,Northern Shale Valleys,PU10,VRO,Valley,Back Creek-Mine Spring Run,N,PU,Mine Spring Run-Back Creek,207000404,Shenandoah River Basin,1A,Potomac-Lower,Frederick,69,20700040401,RL_1A_233877,V,pH-6.5-9.5,,Yes,,2,NA,3.68977835,298,783,456.9449838,110.0201252,485,0,37.77479553,11.04900421,6.488180691,37.77479553,3844,953.83,151.3386644,37.55238248,NA,BAR10259,1,Riffle,200,Small,Mountain,SmallMountainFall,MountainFall
VDEQ_BUG,Ref,NA,1ABED009.37,1ABED009.37_2013_Spring,2013,Spring,149,5/29/2013,1.0 RM above Lunga Reservoir,38.5503,-77.5014,45,Piedmont,45e,Northern Inner Piedmont,PL55,NRO,Northern,Beaverdam Run,N,PL,Beaverdam Run,207001102,Potomac River Basin,1A,Potomac-Lower,Stafford,179,20700110201,RL_1A_227157,III,PWS,Yes,,,2,2,2.945246485,92,137,117.3833529,9.685746965,45,0,12.95293045,3.271031329,1.801089969,12.95293045,1007.65,1019.92,39.67128127,40.15435239,NA,BED4711,1,Riffle,200,Small,Piedmont,SmallPiedmontSpring,PiedmontSpring
VDEQ_BUG,Ref,NA,1ABED009.37,1ABED009.37_2013_Fall,2013,Fall,303,10/30/2013,1.0 RM above Lunga Reservoir,38.5503,-77.5014,45,Piedmont,45e,Northern Inner Piedmont,PL55,NRO,Northern,Beaverdam Run,N,PL,Beaverdam Run,207001102,Potomac River Basin,1A,Potomac-Lower,Stafford,179,20700110201,RL_1A_227157,III,PWS,Yes,,,2,2,2.945246485,92,137,117.3833529,9.685746965,45,0,12.95293045,3.271031329,1.801089969,12.95293045,1007.65,1019.92,39.67128127,40.15435239,NA,BED5615,1,MACS,200,Small,Piedmont,SmallPiedmontFall,PiedmontFall
VDEQ_BUG,Ref,NA,1ABUL025.94,1ABUL025.94_2014_Spring,2014,Spring,112,4/22/2014,Rt. # 705  (Lurette Rd),38.88944444,-77.57055556,64,Northern Piedmont,64a,Triassic Lowlands,PL42,NRO,Northern,Upper Bull Run,N,PL,Upper Bull Run,207001007,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700100701,RL_1A_242216,III,g,,,,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUL5705,1,Riffle,200,Medium,Piedmont,MediumPiedmontSpring,PiedmontSpring
VDEQ_BUG,Ref,NA,1ABUL025.94,1ABUL025.94_2014_Fall,2014,Fall,259,9/16/2014,Rt. # 705  (Lurette Rd),38.88944444,-77.57055556,64,Northern Piedmont,64a,Triassic Lowlands,PL42,NRO,Northern,Upper Bull Run,N,PL,Upper Bull Run,207001007,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700100701,RL_1A_242216,III,g,,,,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUL6255,1,Riffle,200,Medium,Piedmont,MediumPiedmontFall,PiedmontFall
VDEQ_BUG,Ref,NA,1ABUL025.94,1ABUL025.94_2015_Spring,2015,Spring,96,4/6/2015,Rt. # 705  (Lurette Rd),38.88944444,-77.57055556,64,Northern Piedmont,64a,Triassic Lowlands,PL42,NRO,Northern,Upper Bull Run,N,PL,Upper Bull Run,207001007,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700100701,RL_1A_242216,III,g,,,,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUL7117,1,Riffle,200,Medium,Piedmont,MediumPiedmontSpring,PiedmontSpring
VDEQ_BUG,Ref,NA,1ABUL025.94,1ABUL025.94_2015_Fall,2015,Fall,282,10/9/2015,Rt. # 705  (Lurette Rd),38.88944444,-77.57055556,64,Northern Piedmont,64a,Triassic Lowlands,PL42,NRO,Northern,Upper Bull Run,N,PL,Upper Bull Run,207001007,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700100701,RL_1A_242216,III,g,,,,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUL7662,1,Riffle,200,Medium,Piedmont,MediumPiedmontFall,PiedmontFall
VDEQ_BUG,Ref,NA,1ACAX004.57,1ACAX004.57_2013_Spring,2013,Spring,157,6/6/2013,Rt. # 663  (Taylorstown Rd),39.255,-77.57666667,64,Northern Piedmont,64c,Piedmont Uplands,PL03,NRO,Northern,Catoctin Creek,N,PL,Catoctin Creek,207000803,Potomac River Basin,1A,Potomac-Lower,Loudoun,107,20700080302,RL_1A_246753,III,,,,,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAX4969,1,Riffle,200,Large,Piedmont,LargePiedmontSpring,PiedmontSpring
VDEQ_BUG,Ref,NA,1ACAX004.57,1ACAX004.57_2013_Fall,2013,Fall,256,9/13/2013,Rt. # 663  (Taylorstown Rd),39.255,-77.57666667,64,Northern Piedmont,64c,Piedmont Uplands,PL03,NRO,Northern,Catoctin Creek,N,PL,Catoctin Creek,207000803,Potomac River Basin,1A,Potomac-Lower,Loudoun,107,20700080302,RL_1A_246753,III,,,,,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAX5217,1,Riffle,200,Large,Piedmont,LargePiedmontFall,PiedmontFall
