DataSource,,Coastal,StationID,UID,Year,Season,JulianDate,Collection Date,Sta_Desc,Latitude,Longitude,US_L3CODE,US_L3NAME,US_L4CODE,US_L4NAME,VAHU6,ASSESS_REG,OFFICE_NM,VaName,Tidal,VAHUSB,FedName,HUC10,Basin,BASIN_CODE,Basin_Code,CountyCityName,FIPS,BASINS_HUC_12,WQS_ID,WQS_CLASS,WQS_SPSTDS,WQS_PWS,WQS_TROUT,WQS_TIER_III,Order,EDASOrder,totalArea_sqMile,ELEVMIN,ELEVMAX,ELEVMEAN,ELEVSD,ELEVRANGE,SLPMIN,SLPMAX,SLPMEAN,SLPSD,SLPRANGE,wshdRain_mmyr,siteRain_mmyr,wshdRain_inyr,siteRain_inyr,wshedRain_inyr,BenSampID,RepNum,Gradient,Target Count
VDEQ_BUG,Int,,1ABAR038.57,1ABAR038.57_2015_Fall,2015,Fall,257,9/14/2015,0.73 miles upstream SR 608,39.317845,-78.218337,67,Ridge and Valley,67b,Northern Shale Valleys,PU13,VRO,Valley,Back Creek-Brush Creek,N,PU,Brush Creek-Back Creek,207000404,Shenandoah River Basin,1A,Potomac-Lower,Frederick,69,20700040404,RL_1A_236820,IV,pH-6.5-9.5,,,,4,,115.2776812,173,784,306.7434572,88.93738505,611,0,39.12192154,8.125548773,5.122636159,39.12192154,32533.77,955.25,1280.857778,37.60828803,,BAR10306,1,Riffle,200
VDEQ_BUG,Int,,1ABEC004.76,1ABEC004.76_2011_Spring,2011,Spring,159,6/8/2011,Rt. # 734 (Snickersville Turnpike),39.03738611,-77.72278056,64,Northern Piedmont,64c,Piedmont Uplands,PL11,NRO,Northern,Beaverdam Creek,N,PL,Beaverdam Creek,207000806,Potomac River Basin,1A,Potomac-Lower,Loudoun,107,20700080601,RL_1A_243359,III,,,,,4,4,,,,,,,,,,,,,,,,,BEC1699,1,Riffle,200
VDEQ_BUG,Int,,1ABEC004.76,1ABEC004.76_2011_Fall,2011,Fall,308,11/4/2011,Rt. # 734 (Snickersville Turnpike),39.03738611,-77.72278056,64,Northern Piedmont,64c,Piedmont Uplands,PL11,NRO,Northern,Beaverdam Creek,N,PL,Beaverdam Creek,207000806,Potomac River Basin,1A,Potomac-Lower,Loudoun,107,20700080601,RL_1A_243359,III,,,,,4,4,,,,,,,,,,,,,,,,,BEC2638,1,Riffle,200
VDEQ_BUG,Int,,1ACAA001.18,1ACAA001.18_2019_Spring,2019,Spring,73,3/14/2019,Rt. # 676  (Catharpin Rd),38.83033333,-77.59780555,64,Northern Piedmont,64a,Triassic Lowlands,PL43,NRO,Northern,Little Bull Run,N,PL,Little Bull Run,207001007,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700100702,RL_1A_241998,III,g,,,,2,2,,,,,,,,,,,,,,,,,CAA11965,1,Riffle,200
VDEQ_BUG,Int,,1ACAA001.18,1ACAA001.18_2019_Fall,2019,Fall,267,9/24/2019,Rt. # 676  (Catharpin Rd),38.83033333,-77.59780555,64,Northern Piedmont,64a,Triassic Lowlands,PL43,NRO,Northern,Little Bull Run,N,PL,Little Bull Run,207001007,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700100702,RL_1A_241998,III,g,,,,2,2,,,,,,,,,,,,,,,,,CAA12207,1,Riffle,200
VDEQ_BUG,Int,,1ACAA001.18,1ACAA001.18_2020_Spring,2020,Spring,69,3/9/2020,Rt. # 676  (Catharpin Rd),38.83033333,-77.59780555,64,Northern Piedmont,64a,Triassic Lowlands,PL43,NRO,Northern,Little Bull Run,N,PL,Little Bull Run,207001007,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700100702,RL_1A_241998,III,g,,,,2,2,,,,,,,,,,,,,,,,,CAA19075,1,Riffle,200
VDEQ_BUG,Int,,1ACAA001.18,1ACAA001.18_2020_Fall,2020,Fall,262,9/18/2020,Rt. # 676  (Catharpin Rd),38.83033333,-77.59780555,64,Northern Piedmont,64a,Triassic Lowlands,PL43,NRO,Northern,Little Bull Run,N,PL,Little Bull Run,207001007,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700100702,RL_1A_241998,III,g,,,,2,2,,,,,,,,,,,,,,,,,CAA19548,1,Riffle,200
VDEQ_BUG,Int,,1ACAX003.81,1ACAX003.81_2012_Spring,2012,Spring,150,5/29/2012,~0.5 RM downstream from Rt. # 663,39.2577,-77.5685,64,Northern Piedmont,64c,Piedmont Uplands,PL03,NRO,Northern,Catoctin Creek,N,PL,Catoctin Creek,207000803,Potomac River Basin,1A,Potomac-Lower,Loudoun,107,20700080302,RL_1A_246716,III,,,,,4,4,89.89496544,72,513,174.8834537,60.86108643,441,0,34.89731979,4.804088629,3.884147168,34.89731979,23652.29,1011.79,931.1930225,39.83427348,,CAX2841,1,Riffle,200
VDEQ_BUG,Int,,1ACAX003.81,1ACAX003.81_2012_Fall,2012,Fall,236,8/23/2012,~0.5 RM downstream from Rt. # 663,39.2577,-77.5685,64,Northern Piedmont,64c,Piedmont Uplands,PL03,NRO,Northern,Catoctin Creek,N,PL,Catoctin Creek,207000803,Potomac River Basin,1A,Potomac-Lower,Loudoun,107,20700080302,RL_1A_246716,III,,,,,4,4,89.89496544,72,513,174.8834537,60.86108643,441,0,34.89731979,4.804088629,3.884147168,34.89731979,23652.29,1011.79,931.1930225,39.83427348,,CAX3644,1,Riffle,200
VDEQ_BUG,Int,,1ACER012.66,1ACER012.66_2014_Spring,2014,Spring,140,5/20/2014,3.1 RM upstrm of old bridge near Rt. 611,38.6402,-77.5851,64,Northern Piedmont,64a,Triassic Lowlands,PL38,NRO,Northern,Cedar Run-Walnut Branch,N,PL,Walnut Branch-Cedar Run,207001006,Potomac River Basin,1A,Potomac-Lower,Prince William,153,20700100604,RL_1A_227366,III,"PWS, g",Yes,,,4,4,105.3517118,53,416,125.9345402,44.29321484,363,0,29.35342026,3.32789474,2.790917468,29.35342026,28936.68,997.6,1139.239985,39.27561176,,CER5706,1,Riffle,200
