"","StationID","Latitude","Longitude","WQM_STA_STRAHER_ORDER","EPA_ECO_US_L3CODE","EPA_ECO_US_L3NAME","BASINS_HUC_8_NAME","BASINS_VAHU6","WQS_SEC","WQS_CLASS","WQS_SPSTDS","WQS_TROUT","WQS_TIER_III","Admin_Region","Sta_Huc_Code","Sta_Huc_Sbc_Bsc_Code","Sta_Huc_Sbc_Code","Sta_Wqm_Wat_Shed_Code","Collection.Date","Season","BioRegion","Gradient","JulianDate"
"1","4ABLG001.95",37.1527,-80.176,2,66,"Blue Ridge","Upper Roanoke","RU02","7","VI","pH","Yes","No","WCRO",3010101,4,"A","L01",2014-04-03,"Spring","Mountain","Riffle",93
"3","4ABLG001.95",37.1527,-80.176,2,66,"Blue Ridge","Upper Roanoke","RU02","7","VI","pH","Yes","No","WCRO",3010101,4,"A","L01",2014-10-06,"Fall","Mountain","Riffle",279
"5","4ABTM000.04",37.1017,-80.2194,3,66,"Blue Ridge","Upper Roanoke","RU02","7","VI","pH","Yes","No","WCRO",3010101,4,"A","L01",2000-10-12,"Fall","Mountain","Riffle",286
"13","4ABTM000.04",37.1017,-80.2194,3,66,"Blue Ridge","Upper Roanoke","RU02","7","VI","pH","Yes","No","WCRO",3010101,4,"A","L01",2002-06-04,"Spring","Mountain","Riffle",155
"21","4ABTM000.04",37.1017,-80.2194,3,66,"Blue Ridge","Upper Roanoke","RU02","7","VI","pH","Yes","No","WCRO",3010101,4,"A","L01",2015-05-05,"Spring","Mountain","Riffle",125
"29","4ABTM000.04",37.1017,-80.2194,3,66,"Blue Ridge","Upper Roanoke","RU02","7","VI","pH","Yes","No","WCRO",3010101,4,"A","L01",2015-11-23,"Fall","Mountain","Riffle",327
"37","4ABTM004.48",37.1315,-80.18030556,3,66,"Blue Ridge","Upper Roanoke","RU02","7","VI","pH","Yes","No","WCRO",3010101,4,"A","L01",2008-09-12,"Fall","Mountain","Riffle",256
"45","4ABTM004.48",37.1315,-80.18030556,3,66,"Blue Ridge","Upper Roanoke","RU02","7","VI","pH","Yes","No","WCRO",3010101,4,"A","L01",2015-05-04,"Spring","Mountain","Riffle",124
"53","4ABTM004.48",37.1315,-80.18030556,3,66,"Blue Ridge","Upper Roanoke","RU02","7","VI","pH","Yes","No","WCRO",3010101,4,"A","L01",2015-11-18,"Fall","Mountain","Riffle",322
"61","4ABTM008.98",37.161292,-80.143186,3,66,"Blue Ridge","Upper Roanoke","RU02","7","VI","pH","Yes","No","WCRO",NA,4,"A","",2017-04-11,"Spring","Mountain","Riffle",101
"67","4ABTM008.98",37.161292,-80.143186,3,66,"Blue Ridge","Upper Roanoke","RU02","7","VI","pH","Yes","No","WCRO",NA,4,"A","",2017-08-31,"Fall","Mountain","Riffle",243
"73","4ACEC001.24",36.98821111,-79.55127222,3,45,"Piedmont","Upper Roanoke","RU37","6a","III","No","No","No","WCRO",3010101,4,"A","L18",2010-04-14,"Spring","Piedmont","Riffle",104
"89","4ACEC001.24",36.98821111,-79.55127222,3,45,"Piedmont","Upper Roanoke","RU37","6a","III","No","No","No","WCRO",3010101,4,"A","L18",2010-10-26,"Fall","Piedmont","Riffle",299
"105","4ACEC001.24",36.98821111,-79.55127222,3,45,"Piedmont","Upper Roanoke","RU37","6a","III","No","No","No","WCRO",3010101,4,"A","L18",2013-05-28,"Spring","Piedmont","Riffle",148
