SITE_NAME,SITE_ABBR,RVHA,MSW,LENGTH,WMJT_PRED,CM_AREA_KM,ELEVMEAN,WQ_TYPE,pH,SpCond,TDS,Alk,Acid,SO4,Al,Cd,Cr,Fe,Mn,Ni,Ca,Mg,AMNA_N,AMRU_N,CAAN_N,CACO_N,CLFU_N,COBA_N,ETBL_N,ETFL_N,ETNI_N,ETVA_N,ETZO_N,HYBRID_N,HYNI_N,LECY_N,LEGI_N,LEMA_N,LUCH_N,MAMA_N,MIDO_N,MIPU_N,MISA_N,MODU_N,NOAR_N,NOBU_N,NOMI_N,NOPH_N,NORU_N,NOVO_N,ONMY_N,PECA_N,PEMA_N,PHOR_N,PINO_N,RHAT_N,RHCA_N,SAFO_N,SATR_N,SEAT_N,TOTALS,RICH,IBISCORE,IBI_CATEGORY
Blaney Hollow,BLHO,159,4,160,18.7,7.3,367.1,T,7.73,239,0.15,62.4,0,44.8,0.08,8.00E-04,3.00E-04,0.01,0.016,0.005,15.24,5.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73,0,0,0,7,81,3,55.5,P
Darnell Hollow,DAHO,152,4,160,19.2,11.6,348.7,M,7.03,58,0.038,6.28,6.64,15,0.01,0.0013,9.00E-04,0.02,0.048,0.003,2.88,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,8,110,2,40,P
Hog Run,HGRN,132,3,150,18.5,10.3,615,T,5.7,182,0.118,19.9,0,31.7,0.053,0,0.0032,0.1,0.12,0,17.1,5.74,0,0,0,33,0,54,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,112,500,6,52.2,P
Barnes Run,BNRN,126,4,160,18,7.2,555.6,T,5.74,119,0.078,14.63,0,13.4,0.027,0,0.0027,0.12,0.075,0,10.4,1.78,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,40,138,4,55.5,P
Little Sandy Barnes Cabin,LSBC,171,8,300,20.9,60.9,589.6,T,6.2,145,0.094,10.42,0,22,0,0,0.0034,0.078,0.17,0,11.5,3.66,0,14,0,9,0,76,1,0,0,0,0,0,55,30,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,17,80,0,0,12,70,384,11,65.5,F
Whites Run,WHRN,111,4,160,18.3,7.7,316.5,H,8.91,429,0.279,97,7.41,72.3,0.043,0,0,0.037,0.081,0,48.11,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,301,416,2,54.4,P
Little Laurel Run,LLRN,154,4,160,19.1,17.4,529.8,T,3.55,96,0.062,2.26,0,12,0.19,0,0.0034,0.02,0.1,0.0047,4.1,1.47,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,3,35.5,P
Laurel Run 73 Bridge,LR73,184,8,300,20.8,54.1,516.2,T,6.9,140,0.091,7.25,6.42,13.1,0.062,0,0,0.057,0.053,0.0046,6.71,1.57,0,0,26,24,0,197,1,7,3,0,0,0,18,6,0,12,0,0,0,1,0,0,0,0,9,0,0,0,9,0,0,0,0,259,62,1,3,57,695,14,63.3,F
Laurel Run Mouth,LRBS,175,10,300,20.7,59.3,499.5,T,7.21,79,0.052,7.86,10.1,13.3,0.2,0.0011,6.00E-04,0.08,0.035,0.007,3.36,1.584,0,0,17,4,0,433,4,0,3,0,0,0,18,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0,20,0,0,0,0,334,247,0,6,192,1285,12,81,G
Little Sandy 4H Camp,LS4H,163,12,300,21.6,116.4,525.4,H,6.64,205,0.133,12.6,2.95,54.8,0.11,0.0012,0.0014,0.03,0.126,0.012,7,6.288,0,17,29,3,0,187,11,0,0,0,0,0,129,13,0,3,0,0,0,0,7,0,0,7,2,0,0,0,8,0,0,0,19,337,0,0,16,89,877,16,74.4,G
Beaver Creek at 3/4 Spiker Road,BC34,166,5,200,19.8,33.9,567.5,M,4.62,485,0.314,3.93,0,18.6,0.029,0,0.003,0.053,0.2,0.0062,7.95,2.67,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,194,252,3,31.1,P
Little Sandy Route 26,LS26,120,15,300,21.7,123,482.2,H,7.2,203,0.132,14.7,0,48.9,0.11,0.0015,6.00E-04,0.02,0.107,0.012,7.48,6.024,0,33,26,5,0,13,1,0,0,0,0,6,75,45,5,2,0,1,0,7,1,0,0,36,0,0,0,0,0,0,0,0,240,42,0,0,1,108,647,12,64.4,F
Webster Run,WBRN,146,4,160,18.8,10.6,498.8,H,6.03,289,0.188,9.23,0,76,0.053,0,0.0034,0.096,0.35,0.021,28.5,9.32,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,20,37,4,55.5,P
Beaver Creek Below McCarty mine,BCMC,140,6,240,19.5,24.2,551.6,M,5.9,132,0.086,3.14,11.3,40,0.19,0.0013,8.00E-04,0.05,0.289,0.023,5.52,4.2,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,93,123,5,41.1,P
Muddy Creek Cuzzart,MCCZ,180,5,200,19.1,27,654.9,T,7.28,60,0.039,12.1,5.16,11.7,0.14,5.00E-04,3.00E-04,0.11,0.076,0.005,3.64,1.13,0,0,0,21,0,932,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,136,19,30,6,1378,8,68.8,F
Muddy Creek Brandonville Pike,MCBP,152,8,300,20.2,40.7,567.7,M,6.61,134,0.087,7.86,4.92,45.8,0.06,0.0016,6.00E-04,0.03,0.15,0.016,6.2,3.648,0,0,0,28,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,290,3,0,0,88,463,5,55.5,P
Muddy Creek Tack Shop,MCTS,176,8,300,20.2,43.9,555.1,T,6.57,131,0.085,7.28,0,25,0,0,0.003,0.17,0.2,0.0082,12,3.94,0,0,0,55,0,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,504,17,0,2,237,871,7,51.1,P
Muddy Creek Headwaters,MCHW,176,5,200,17.4,9.9,779.7,T,6.34,91,0.059,21.58,0,10.2,0,0,0.0022,0.03,0.0059,0,10.7,1.15,0,0,0,2,0,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,6,5,16,860,6,63.3,F
Roaring Creek at Lick Run,RCLK,176,5,200,19.5,30.2,562,M,6.89,60,0.039,9.43,19.6,15.7,0.14,3.00E-04,3.00E-04,0.06,0.076,0.003,5.92,1.128,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,79,223,3,62.2,F
Roaring Creek Mouth,RCMO,168,12,300,19.4,39.8,405.3,T,5.96,137,0.089,7.22,0,26.2,0,0,0.0029,0.02,0.16,0.0072,12.8,2.87,0,17,24,2,11,164,2,3,0,0,0,0,4,2,0,0,0,0,38,1,0,2,2,0,16,35,279,1,0,0,0,0,12,2,40,2,0,19,678,20,79.9,G
Daugherty Run Headwaters,DRHW,146,4,160,16.9,11.3,680.2,T,6.11,60,0.039,22.95,0,7.99,0,0,0.0022,0.024,0.014,0.0034,8.74,2.08,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,18,19,0,0,190,4,82.1,E
